"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Marquette","Silver Lake Basin SILVER LAKE BASIN (49N 28W 08)","SILVER LAKE BASIN             ","49N","28W","08","Lake trout","","5/14/1980 12:00:00 AM","10000","4.8","State Plant","none"
"Alger","Grand Sable Lake GRAND SABLE LAKE (49N 14W 15)","GRAND SABLE LAKE              ","49N","14W","15","Lake trout","","5/15/1980 12:00:00 AM","10000","4.8","State Plant","none"
"Berrien","Saint Joseph River SOUTH PIER (04S 19W 23)","SOUTH PIER                    ","04S","19W","23","Lake trout","","5/21/1980 12:00:00 AM","22000","4.69","State Plant","left pectoral clip"
"Ottawa","Macatawa River HOLLAND (05N 16W 33)","HOLLAND                       ","05N","16W","33","Lake trout","","5/21/1980 12:00:00 AM","20000","4.69","State Plant","left pectoral clip"
"Van Buren","Black River (South Haven) SOUTH HAVEN (01S 17W 10)","SOUTH HAVEN                   ","01S","17W","10","Lake trout","","5/21/1980 12:00:00 AM","20000","4.69","State Plant","left pectoral clip"
"Schoolcraft","Big Spring BIG SPRING (42N 17W 25)","BIG SPRING                    ","42N","17W","25","Lake trout","","5/22/1980 12:00:00 AM","25","31.06","State Plant","none"
"Alger","Lake Superior LAUGHING FISH POINT (48N 22W 26)","LAUGHING FISH POINT           ","48N","22W","26","Lake trout","","5/28/1980 12:00:00 AM","25000","4.88","State Plant","left pectoral clip"
"Alger","Lake Superior LAUGHING FISH POINT (48N 22W 26)","LAUGHING FISH POINT           ","48N","22W","26","Lake trout","","5/28/1980 12:00:00 AM","25000","4.88","State Plant","left pectoral clip"
"Marquette","Lake Superior BIG BAY POINT LIGHTHOUSE (51N 27W 01)","BIG BAY POINT LIGHTHOUSE      ","51N","27W","01","Lake trout","","5/29/1980 12:00:00 AM","28000","4.88","State Plant","left pectoral clip"
"Marquette","Lake Superior PARTRIDGE ISLAND REEF-G1529 (49N 25W 35)","PARTRIDGE ISLAND REEF-G1529   ","49N","25W","35","Lake trout","","5/29/1980 12:00:00 AM","28000","4.88","State Plant","left pectoral clip"
"Marquette","Lake Superior PARTRIDGE ISLAND REEF-G1529 (49N 25W 35)","PARTRIDGE ISLAND REEF-G1529   ","49N","25W","35","Lake trout","","5/29/1980 12:00:00 AM","28000","4.88","State Plant","left pectoral clip"
"Houghton","","TRAVERSE ISLAND REEF-G1224    ","","","","Lake trout","","5/30/1980 12:00:00 AM","28000","4.92","State Plant","left pectoral clip"
"Marquette","Lake Superior BIG BAY POINT LIGHTHOUSE (51N 27W 01)","BIG BAY POINT LIGHTHOUSE      ","51N","27W","01","Lake trout","","5/30/1980 12:00:00 AM","28000","4.76","State Plant","left pectoral clip"
"Houghton","","TRAVERSE ISLAND REEF-G1224    ","","","","Lake trout","","5/31/1980 12:00:00 AM","28000","4.92","State Plant","left pectoral clip"
"Marquette","","HURON ISLANDS-G1326           ","","","","Lake trout","","6/1/1980 12:00:00 AM","28000","4.92","State Plant","left pectoral clip"
"Marquette","","HURON ISLANDS-G1326           ","","","","Lake trout","","6/1/1980 12:00:00 AM","28000","4.92","State Plant","left pectoral clip"
"Alger","Lake Superior GRAND MARAIS COAST GUARD STN (49N 13W 06)","GRAND MARAIS COAST GUARD STN  ","49N","13W","06","Lake trout","","6/2/1980 12:00:00 AM","28000","4.88","State Plant","left pectoral clip"
"Marquette","Lake Superior PRESQUE ISLE HARBOR (48N 25W 02)","PRESQUE ISLE HARBOR           ","48N","25W","02","Lake trout","","6/3/1980 12:00:00 AM","41500","4.88","State Plant","left pectoral clip"
"Chippewa","Lake Huron DRUMMOND ISLAND-BARBED PT. (41N 04E 12)","DRUMMOND ISLAND-BARBED PT.    ","41N","04E","12","Lake trout","","12/5/1980 12:00:00 AM","1867111","0","State Plant","none"
"Chippewa","St. Marys River DETOUR FERRY DOCK (42N 04E 35)","DETOUR FERRY DOCK             ","42N","04E","35","Lake trout","","4/8/1981 12:00:00 AM","50000","5.47","Federal Plant","adipose clip"
"Alger","Lake Superior MUNISING BAY-CITY DOCK (46N 19W 02)","MUNISING BAY-CITY DOCK        ","46N","19W","02","Lake trout","Marquette","4/13/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Marquette","Lake Superior MARQUETTE BAY-SPEARS COAL DOCK (48N 25W 23)","MARQUETTE BAY-SPEARS COAL DOCK","48N","25W","23","Lake trout","Marquette","4/14/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Marquette","Lake Superior PRESQUE ISLE HARBOR (48N 25W 02)","PRESQUE ISLE HARBOR           ","48N","25W","02","Lake trout","Marquette","4/14/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Keweenaw","Lake Superior COPPER HARBOR (59N 28W 32)","COPPER HARBOR                 ","59N","28W","32","Lake trout","Marquette","4/15/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Marquette","Lake Superior BIG BAY MARINA (51N 27W 10)","BIG BAY MARINA                ","51N","27W","10","Lake trout","Marquette","4/15/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Presque Isle","Lake Huron ROGERS CITY (35N 05E 15)","ROGERS CITY                   ","35N","05E","15","Lake trout","","4/15/1981 12:00:00 AM","75300","5.55","Federal Plant","adipose clip"
"Alger","Lake Superior SHELTER BAY-SHELTER BAY STORE (47N 21W 16)","SHELTER BAY-SHELTER BAY STORE ","47N","21W","16","Lake trout","Marquette","4/16/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Alger","Lake Superior SHELTER BAY-SHELTER BAY STORE (47N 21W 16)","SHELTER BAY-SHELTER BAY STORE ","47N","21W","16","Lake trout","Marquette","4/16/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Marquette","Lake Superior LOMA FARMS (50N 26W 27)","LOMA FARMS                    ","50N","26W","27","Lake trout","Marquette","4/16/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Presque Isle","","HAMMOND BAY-G0505             ","","","","Lake trout","","4/16/1981 12:00:00 AM","74900","5.63","Federal Plant","adipose clip"
"Sanilac","Lake Huron PORT SANILAC (11N 16E 02)","PORT SANILAC                  ","11N","16E","02","Lake trout","","4/16/1981 12:00:00 AM","50000","5.43","Federal Plant","adipose clip"
"Huron","Lake Huron Lake Huron - HARBOR BEACH (16N 15E 01)","Lake Huron - HARBOR BEACH","16N","15E","01","Lake trout","","4/20/1981 12:00:00 AM","95000","5.43","Federal Plant","adipose clip"
"Ontonagon","Big Iron River SILVER CITY (51N 42W 12)","SILVER CITY                   ","51N","42W","12","Lake trout","Marquette","4/20/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Ontonagon","Lake Superior UNION BAY-COAL DOCK (51N 42W 15)","UNION BAY-COAL DOCK           ","51N","42W","15","Lake trout","Marquette","4/20/1981 12:00:00 AM","25000","5.16","State Plant","right pectoral clip"
"Emmet","Lake Michigan L TRAVERSE BAY-PETOSKEY (34N 05W 06)","L TRAVERSE BAY-PETOSKEY       ","34N","05W","06","Lake trout","","4/21/1981 12:00:00 AM","25000","5.63","Federal Plant","right pectoral clip"
"Gogebic","Lake Superior BLACK RIVER HARBOR (49N 46W 03)","BLACK RIVER HARBOR            ","49N","46W","03","Lake trout","Marquette","4/21/1981 12:00:00 AM","25000","5.31","State Plant","right pectoral clip"
"Huron","Lake Huron GRINDSTONE CITY (19N 13E 25)","GRINDSTONE CITY               ","19N","13E","25","Lake trout","","4/21/1981 12:00:00 AM","97000","5.71","Federal Plant","adipose clip"
"Huron","Lake Huron PORT AUSTIN (19N 13E 30)","PORT AUSTIN                   ","19N","13E","30","Lake trout","","4/21/1981 12:00:00 AM","25000","5.87","Federal Plant","adipose clip"
"Alger","","GRAND MARAIS REEF-G1437       ","","","","Lake trout","Marquette","4/22/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Alger","Grand Sable Lake GRAND SABLE LAKE (49N 14W 15)","GRAND SABLE LAKE              ","49N","14W","15","Lake trout","Marquette","4/22/1981 12:00:00 AM","10000","5.31","State Plant","none"
"Berrien","Saint Joseph River SHAMROCK PARK (06S 17W 18)","SHAMROCK PARK                 ","06S","17W","18","Lake trout","","4/22/1981 12:00:00 AM","100000","5.43","Federal Plant","right pectoral clip"
"Manistee","Manistee River MANISTEE (21N 17W 11)","MANISTEE                      ","21N","17W","11","Lake trout","","4/22/1981 12:00:00 AM","60000","5.63","Federal Plant","right pectoral clip"
"Gogebic","Beatons Lake BEATONS LK PAS (45N 40W 06)","BEATONS LK PAS","45N","40W","06","Lake trout","Marquette","4/23/1981 12:00:00 AM","20000","5.28","State Plant","none"
"Iron","Chicagon Lake CHICAGON LAKE (42N 34W 13)","CHICAGON LAKE                 ","42N","34W","13","Lake trout","Marquette","4/23/1981 12:00:00 AM","15000","5.28","State Plant","none"
"Manistee","Manistee River HIGH BRIDGE (22N 14W 33)","HIGH BRIDGE                   ","22N","14W","33","Lake trout","","4/23/1981 12:00:00 AM","25000","5.71","Federal Plant","right pectoral clip"
"Marquette","Lake Superior BIG BAY MARINA (51N 27W 10)","BIG BAY MARINA                ","51N","27W","10","Lake trout","Marquette","4/23/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Charlevoix","Walloon Lake GRIFFIN ROAD (33N 06W 10)","GRIFFIN ROAD                  ","33N","06W","10","Lake trout","Marquette","4/24/1981 12:00:00 AM","6667","5.28","State Plant","none"
"Charlevoix","Walloon Lake SI MARINA (33N 05W 09)","SI MARINA                     ","33N","05W","09","Lake trout","Marquette","4/24/1981 12:00:00 AM","20000","5.28","State Plant","none"
"Charlevoix","Walloon Lake ST. LOUIS CLUB RD. (34N 06W 21)","ST. LOUIS CLUB RD.            ","34N","06W","21","Lake trout","Marquette","4/24/1981 12:00:00 AM","13333","5.28","State Plant","none"
"Emmet","Lake Michigan L TRAVERSE BAY-PETOSKEY (34N 05W 06)","L TRAVERSE BAY-PETOSKEY       ","34N","05W","06","Lake trout","Marquette","4/24/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Lake trout","Marquette","4/27/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Roscommon","Higgins Lake HIGGINS LAKE_WEST P.A.S. (24N 04W 10)","HIGGINS LAKE_WEST P.A.S.      ","24N","04W","10","Lake trout","Marquette","4/27/1981 12:00:00 AM","25000","5.24","State Plant","none"
"Van Buren","Black River (South Haven) SOUTH HAVEN (01S 17W 10)","SOUTH HAVEN                   ","01S","17W","10","Lake trout","","4/27/1981 12:00:00 AM","100000","5.47","Federal Plant","right pectoral clip"
"Antrim","Torch Lake TORCH LAKE ROAD (30N 08W 31)","TORCH LAKE ROAD               ","30N","08W","31","Lake trout","Marquette","4/28/1981 12:00:00 AM","25000","5.28","State Plant","right pectoral clip"
"Benzie","Betsie River FRANKFORT - P.A.S (26N 16W 27)","FRANKFORT - P.A.S             ","26N","16W","27","Lake trout","","4/28/1981 12:00:00 AM","75100","5.55","Federal Plant","right pectoral clip"
"Cheboygan","Mullett Lake BOY SCOUT CAMP (36N 02W 24)","BOY SCOUT CAMP                ","36N","02W","24","Lake trout","Marquette","4/28/1981 12:00:00 AM","7000","5.24","State Plant","none"
"Cheboygan","Mullett Lake BOY SCOUT CAMP (36N 02W 24)","BOY SCOUT CAMP                ","36N","02W","24","Lake trout","Marquette","4/28/1981 12:00:00 AM","16000","5.16","State Plant","right pectoral clip"
"Kalkaska","Blue Lake BIG BLUE LAKE P.A.S. (28N 05W 22)","BIG BLUE LAKE P.A.S.          ","28N","05W","22","Lake trout","Marquette","4/28/1981 12:00:00 AM","2300","5.24","State Plant","none"
"Leelanau","North Lake Leelanau EAST LELAND TOWNSHIP PARK (31N 12W 35)","EAST LELAND TOWNSHIP PARK     ","31N","12W","35","Lake trout","Marquette","4/28/1981 12:00:00 AM","25000","5.24","State Plant","right pectoral clip"
"Benzie","Crystal Lake BEULAH (26N 15W 26)","BEULAH                        ","26N","15W","26","Lake trout","Marquette","4/29/1981 12:00:00 AM","50000","5.24","State Plant","right pectoral clip"
"Charlevoix","Lake Charlevoix IRONTON (33N 07W 17)","IRONTON                       ","33N","07W","17","Lake trout","Marquette","4/29/1981 12:00:00 AM","50000","5.24","State Plant","right pectoral clip"
"Cheboygan","Mullett Lake BOY SCOUT CAMP (36N 02W 24)","BOY SCOUT CAMP                ","36N","02W","24","Lake trout","Marquette","4/29/1981 12:00:00 AM","17000","5.24","State Plant","right pectoral clip"
"Leelanau","Lake Michigan GREILICKVILLE-BREWERY CREEK (28N 11W 33)","GREILICKVILLE-BREWERY CREEK   ","28N","11W","33","Lake trout","Marquette","4/29/1981 12:00:00 AM","60000","5.24","State Plant","right pectoral clip"
"Ottawa","Macatawa River HOLLAND (05N 16W 33)","HOLLAND                       ","05N","16W","33","Lake trout","","4/29/1981 12:00:00 AM","101000","5.75","Federal Plant","right pectoral clip"
"Antrim","Elk Lake CHERRY ROAD PAS (29N 09W 26)","CHERRY ROAD PAS               ","29N","09W","26","Lake trout","Marquette","4/30/1981 12:00:00 AM","10000","5.59","State Plant","adipose clip"
"Antrim","Elk Lake KEWADIN (29N 09W 11)","KEWADIN                       ","29N","09W","11","Lake trout","Marquette","4/30/1981 12:00:00 AM","10000","5.51","State Plant","adipose clip"
"Antrim","Elk Lake REX TERRACE (28N 09W 02)","REX TERRACE                   ","28N","09W","02","Lake trout","Marquette","4/30/1981 12:00:00 AM","10000","5.55","State Plant","adipose clip"
"Charlevoix","Lake Charlevoix CHARLEVOIX LAKE (33N 06W 34)","CHARLEVOIX LAKE               ","33N","06W","34","Lake trout","Marquette","4/30/1981 12:00:00 AM","10000","5.28","State Plant","right pectoral clip"
"Charlevoix","Lake Charlevoix CHARLEVOIX LAKE (33N 06W 34)","CHARLEVOIX LAKE               ","33N","06W","34","Lake trout","Marquette","4/30/1981 12:00:00 AM","20000","5.24","State Plant","right pectoral clip"
"Leelanau","Lake Michigan GREILICKVILLE-BREWERY CREEK (28N 11W 33)","GREILICKVILLE-BREWERY CREEK   ","28N","11W","33","Lake trout","Marquette","5/1/1981 12:00:00 AM","40000","5.28","State Plant","right pectoral clip"
"Leelanau","Lake Michigan NORTHPORT (32N 11W 34)","NORTHPORT                     ","32N","11W","34","Lake trout","Marquette","5/1/1981 12:00:00 AM","20000","5.28","State Plant","right pectoral clip"
"Charlevoix","Pine River PINE RIVER (34N 08W 27)","PINE RIVER                    ","34N","08W","27","Lake trout","Marquette","5/4/1981 12:00:00 AM","20000","5.28","State Plant","right pectoral clip"
"Charlevoix","Pine River PINE RIVER (34N 08W 27)","PINE RIVER                    ","34N","08W","27","Lake trout","Marquette","5/4/1981 12:00:00 AM","12500","5.28","State Plant","right pectoral clip"
"Grand Traverse","Lake Michigan E GD TRAVERSE BAY-4 MILE ROAD (27N 10W 08)","E GD TRAVERSE BAY-4 MILE ROAD ","27N","10W","08","Lake trout","Marquette","5/4/1981 12:00:00 AM","37500","5.28","State Plant","right pectoral clip"
"Ottawa","Grand River GRAND HAVEN (08N 16W 30)","GRAND HAVEN                   ","08N","16W","30","Lake trout","","5/4/1981 12:00:00 AM","27300","5.71","Federal Plant","right pectoral clip"
"Ottawa","Grand River GRAND HAVEN (08N 16W 30)","GRAND HAVEN                   ","08N","16W","30","Lake trout","","5/4/1981 12:00:00 AM","52400","5.71","Federal Plant","right pectoral clip"
"Arenac","Lake Huron SAGINAW BAY-PT LOOKOUT (19N 07E 14)","SAGINAW BAY-PT LOOKOUT        ","19N","07E","14","Lake trout","","5/5/1981 12:00:00 AM","70000","5.71","Federal Plant","adipose clip"
"Iosco","Lake Huron TAWAS POINT (22N 08E 34)","TAWAS POINT                   ","22N","08E","34","Lake trout","","5/6/1981 12:00:00 AM","70000","5.67","Federal Plant","adipose clip"
"Charlevoix","Pine River PINE RIVER (34N 08W 27)","PINE RIVER                    ","34N","08W","27","Lake trout","Marquette","5/12/1981 12:00:00 AM","67500","5.28","State Plant","right pectoral clip"
"Grand Traverse","Lake Michigan E GD TRAVERSE BAY-4 MILE ROAD (27N 10W 08)","E GD TRAVERSE BAY-4 MILE ROAD ","27N","10W","08","Lake trout","Marquette","5/12/1981 12:00:00 AM","70730","5.28","State Plant","right pectoral clip"
"Iron","Chicagon Lake CHICAGON LAKE (42N 34W 13)","CHICAGON LAKE                 ","42N","34W","13","Lake trout","Marquette","5/14/1981 12:00:00 AM","11780","5.28","State Plant","right pectoral clip"
"Schoolcraft","Big Spring BIG SPRING (42N 17W 25)","BIG SPRING                    ","42N","17W","25","Lake trout","Marquette","5/15/1981 12:00:00 AM","25","33.39","State Plant","none"
