"County","Water Body","Site Name","Town","Range","Section","Species","Strain","Date","Number","Avg. Length","Operation","Fin Clips, Marks, Tags"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","11/28/1990 12:00:00 AM","13869","6.77","State Plant","left pectoral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","11/28/1990 12:00:00 AM","16080","6.77","State Plant","left pectoral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Atlantic salmon","Penobscot","11/29/1990 12:00:00 AM","12490","6.14","State Plant","adipose, left pectoral clips"
"Crawford","Higgins Lake NORTH STATE PARK (25N 04W 35)","NORTH STATE PARK              ","25N","04W","35","Atlantic salmon","Penobscot","11/29/1990 12:00:00 AM","20000","6.89","State Plant","none"
"Benzie","Crystal Lake BEULAH (26N 15W 26)","BEULAH                        ","26N","15W","26","Atlantic salmon","Penobscot","11/30/1990 12:00:00 AM","19278","6.89","State Plant","none"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","12/10/1990 12:00:00 AM","601","4.17","State Plant","none"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Landlocked","6/5/1991 12:00:00 AM","1537","5.51","Educational Institution","floy (dart) tag"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Penobscot","6/5/1991 12:00:00 AM","351","6.69","Educational Institution","floy (dart) tag"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Penobscot","6/5/1991 12:00:00 AM","302","4.96","Educational Institution","none"
"Chippewa","St. Marys River S. S. MARIE (47N 01E 05)","S. S. MARIE                   ","47N","01E","05","Atlantic salmon","Penobscot","6/5/1991 12:00:00 AM","924","4.17","Educational Institution","none"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Penobscot","9/23/1991 12:00:00 AM","20445","5.51","State Plant","adipose, coded wire tag"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Penobscot","10/2/1991 12:00:00 AM","29690","5.91","State Plant","adipose, coded wire tag"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","10/3/1991 12:00:00 AM","19290","5.55","State Plant","left ventral clip"
"Barry","Gull Lake GULL LAKE (01N 10W 25)","GULL LAKE                     ","01N","10W","25","Atlantic salmon","Landlocked","10/29/1991 12:00:00 AM","26869","6.14","State Plant","left ventral clip"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Penobscot","5/18/1992 12:00:00 AM","10000","6.89","State Plant","adipose, coded wire tag"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Landlocked","6/3/1992 12:00:00 AM","2729","6.02","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Penobscot","6/3/1992 12:00:00 AM","4705","7.91","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Penobscot","6/3/1992 12:00:00 AM","21500","7.6","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Landlocked","6/10/1992 12:00:00 AM","198","4.8","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Landlocked","6/10/1992 12:00:00 AM","116","4.8","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Penobscot","6/17/1992 12:00:00 AM","50","3.94","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Penobscot","6/17/1992 12:00:00 AM","100","5.2","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Penobscot","7/21/1992 12:00:00 AM","2305","1.73","Educational Institution","none"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Penobscot","8/29/1992 12:00:00 AM","500","17.99","Educational Institution","none"
"Benzie","Crystal Lake BEULAH (26N 15W 26)","BEULAH                        ","26N","15W","26","Atlantic salmon","Landlocked","10/13/1992 12:00:00 AM","30000","5.39","State Plant","none"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","10/14/1992 12:00:00 AM","29998","5.51","State Plant","none"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","10/15/1992 12:00:00 AM","10002","5.55","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","10/15/1992 12:00:00 AM","22717","6.06","State Plant","adipose clip"
"Benzie","Crystal Lake BEULAH (26N 15W 26)","BEULAH                        ","26N","15W","26","Atlantic salmon","Landlocked","10/15/1992 12:00:00 AM","20137","5.55","State Plant","none"
"Barry","Gull Lake Prairieville Township Park (01N 10W 36)","Prairieville Township Park","01N","10W","36","Atlantic salmon","Landlocked","10/16/1992 12:00:00 AM","4154","6.06","State Plant","adipose clip"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Penobscot","6/1/1993 12:00:00 AM","22448","6.97","State Plant","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/7/1993 12:00:00 AM","38894","7.91","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","6/7/1993 12:00:00 AM","8022","5.47","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/7/1993 12:00:00 AM","800","7.91","Educational Institution","floy (dart) tag"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Landlocked","2/15/1994 12:00:00 AM","12618","6.77","Educational Institution","adipose clip, coded wire tag, left pectoral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Atlantic salmon","Landlocked","4/25/1994 12:00:00 AM","488","9.69","State Plant","right ventral clip"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","5/16/1994 12:00:00 AM","5311","6.77","Educational Institution","right pectoral clip"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Penobscot","5/24/1994 12:00:00 AM","4757","7.36","Educational Institution","adipose clip, coded wire tag, left pectoral clip"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Penobscot","5/24/1994 12:00:00 AM","8000","7.36","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/6/1994 12:00:00 AM","3900","7.01","Educational Institution","adipose clip, coded wire tag, left pectoral clip"
"Chippewa","St. Marys River NET PEN (47N 01E 04)","NET PEN                       ","47N","01E","04","Atlantic salmon","Landlocked","6/6/1994 12:00:00 AM","4000","7.01","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","5/10/1995 12:00:00 AM","2828","7.17","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","5/10/1995 12:00:00 AM","1452","7.17","Educational Institution","floy (dart) tag"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Landlocked","5/10/1995 12:00:00 AM","8563","8.27","State Plant","adipose, coded wire tag"
"Mackinac","Carp River OLD PAS (42N 03W 20)","OLD PAS                       ","42N","03W","20","Atlantic salmon","Landlocked","5/24/1995 12:00:00 AM","4867","8.19","State Plant","floy (dart) tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","6/4/1995 12:00:00 AM","170","8.23","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","6/4/1995 12:00:00 AM","1060","8.23","Educational Institution","left pectoral clip, floy(dart) tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/4/1995 12:00:00 AM","21675","7.05","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/4/1995 12:00:00 AM","151","8.19","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/4/1995 12:00:00 AM","1724","8.19","Educational Institution","left pectoral clip, floy(dart) tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","11/6/1995 12:00:00 AM","10130","6.1","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","11/6/1995 12:00:00 AM","613","6.1","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","11/6/1995 12:00:00 AM","1371","7.01","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","11/6/1995 12:00:00 AM","3871","7.01","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","11/15/1995 12:00:00 AM","4066","7.01","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","11/15/1995 12:00:00 AM","1942","7.01","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","11/15/1995 12:00:00 AM","1786","6.69","Educational Institution","adipose clip, coded wire, floy tags"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","11/15/1995 12:00:00 AM","1797","6.69","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/3/1996 12:00:00 AM","25206","7.13","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Penobscot","6/3/1996 12:00:00 AM","8550","7.4","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","10/28/1996 12:00:00 AM","9969","6.06","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","6/5/1997 12:00:00 AM","23369","5.83","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","8/20/1997 12:00:00 AM","12439","5.55","Educational Institution","adipose, coded wire tag"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","9/17/1997 12:00:00 AM","13164","4.8","State Plant","left pectoral clip"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","10/30/1997 12:00:00 AM","7760","6.81","Educational Institution","adipose, coded wire tag"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","4/22/1998 12:00:00 AM","9878","6.46","State Plant","right pectoral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Atlantic salmon","Landlocked","4/22/1998 12:00:00 AM","933","7.4","State Plant","right pectoral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Atlantic salmon","Landlocked","4/23/1998 12:00:00 AM","7627","8.98","State Plant","right pectoral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Atlantic salmon","Landlocked","4/23/1998 12:00:00 AM","2438","8.7","State Plant","right pectoral clip"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","5/7/1998 12:00:00 AM","5904","7.28","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","5/7/1998 12:00:00 AM","15822","6.65","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","5/7/1998 12:00:00 AM","19995","4.25","Educational Institution","adipose, coded wire tag"
"Chippewa","St. Marys River LSSU LAB (47N 01E 04)","LSSU LAB                      ","47N","01E","04","Atlantic salmon","Landlocked","10/4/1998 12:00:00 AM","10453","6.14","Educational Institution","adipose, coded wire tag"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","10/6/1998 12:00:00 AM","15874","3.9","State Plant","left ventral clip"
"Antrim","Torch Lake TORCH LAKE VILLAGE (31N 09W 24)","TORCH LAKE VILLAGE            ","31N","09W","24","Atlantic salmon","Landlocked","10/6/1998 12:00:00 AM","16052","3.9","State Plant","left ventral clip"
"Antrim","Torch Lake ALDEN (29N 08W 28)","ALDEN                         ","29N","08W","28","Atlantic salmon","Landlocked","4/5/1999 12:00:00 AM","9240","7.4","State Plant","right ventral clip"
